,cat,dataset,path
0,T,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_T_638_274_15_49.jpg
1,5,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_5_640_604_16_44.jpg
2,C,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_C_635_327_17_50.jpg
3,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_9_637_553_17_44.jpg
4,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_4_643_654_18_42.jpg
5,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_3_635_502_17_47.jpg
6,5,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_5_651_746_16_40.jpg
7,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_U_635_434_17_48.jpg
8,L,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_L_636_382_14_48.jpg
9,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_2_647_701_17_41.jpg
10,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/820/chars/recognized_3_657_809_16_38.jpg
11,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_2_578_696_17_40.jpg
12,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_9_567_554_14_43.jpg
13,5,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_5_584_740_16_39.jpg
14,5,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_5_570_602_16_44.jpg
15,L,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_L_562_388_15_46.jpg
16,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_U_562_439_16_47.jpg
17,C,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_C_562_336_15_47.jpg
18,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_4_575_651_16_41.jpg
19,T,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_T_564_285_13_46.jpg
20,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_3_564_504_16_45.jpg
21,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/18/frames/821/chars/recognized_3_591_801_16_37.jpg
22,V,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_V_639_188_26_52.jpg
23,1,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_1_654_770_14_42.jpg
24,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_4_645_699_21_45.jpg
25,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_3_642_648_20_47.jpg
26,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_U_634_356_22_52.jpg
27,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_7_635_486_19_50.jpg
28,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_2_640_595_18_49.jpg
29,0,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_0_637_541_19_50.jpg
30,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_M_633_243_29_53.jpg
31,L,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_L_637_300_17_52.jpg
32,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/600/chars/recognized_3_634_430_19_51.jpg
33,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_4_741_704_23_47.jpg
34,V,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_V_743_176_29_54.jpg
35,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_2_739_597_20_51.jpg
36,L,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_L_741_292_19_53.jpg
37,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_3_740_652_20_48.jpg
38,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_3_737_426_21_53.jpg
39,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_U_737_350_25_54.jpg
40,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_7_737_484_21_52.jpg
41,0,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_0_737_542_21_50.jpg
42,1,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_1_738_772_34_47.jpg
43,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/595/chars/recognized_M_737_233_33_55.jpg
44,V,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_V_690_182_28_52.jpg
45,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_M_684_238_30_54.jpg
46,0,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_0_686_541_20_51.jpg
47,L,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_L_688_296_18_52.jpg
48,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_U_684_353_24_53.jpg
49,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_4_692_702_22_46.jpg
50,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_3_685_428_19_52.jpg
51,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_7_685_485_19_51.jpg
52,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_2_688_596_20_50.jpg
53,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_3_690_650_20_47.jpg
54,1,lot1,/home/gopik/github/cnn/data/lot1/outputs/12/frames/597/chars/recognized_1_700_773_14_43.jpg
55,5,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_5_1237_205_21_47.jpg
56,Z,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_Z_828_194_34_47.jpg
57,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_2_1003_192_23_48.jpg
58,1,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_1_1143_198_14_48.jpg
59,8,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_8_1038_194_23_46.jpg
60,8,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_8_1105_196_24_46.jpg
61,I,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_I_874_194_11_46.jpg
62,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_U_934_193_29_47.jpg
63,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_2_1169_202_23_47.jpg
64,5,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_5_1072_195_21_46.jpg
65,H,lot1,/home/gopik/github/cnn/data/lot1/outputs/02/frames/53/chars/recognized_H_897_194_34_46.jpg
66,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_4_900_486_28_54.jpg
67,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_3_903_428_23_54.jpg
68,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_D_900_199_24_49.jpg
69,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_E_902_146_20_49.jpg
70,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_6_902_372_24_52.jpg
71,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_7_903_677_23_57.jpg
72,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_2_902_603_26_57.jpg
73,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_M_894_94_35_49.jpg
74,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_U_900_252_25_51.jpg
75,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_9_902_543_25_56.jpg
76,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1445/chars/recognized_3_902_316_23_52.jpg
77,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_9_1152_545_25_56.jpg
78,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_M_1143_98_36_48.jpg
79,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_4_1150_488_28_54.jpg
80,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_3_1152_430_23_54.jpg
81,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_2_1153_605_26_57.jpg
82,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_U_1148_255_25_51.jpg
83,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_D_1148_202_25_49.jpg
84,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_7_1154_678_23_57.jpg
85,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_3_1150_319_24_51.jpg
86,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_6_1151_374_24_53.jpg
