cat,False,True,total,percent
0,22.0,0.0,22.0,0.0
1,48.0,0.0,48.0,0.0
2,163.0,0.0,163.0,0.0
3,140.0,6.0,146.0,0.0410958904109589
4,90.0,0.0,90.0,0.0
5,18.0,0.0,18.0,0.0
6,72.0,0.0,72.0,0.0
7,68.0,3.0,71.0,0.04225352112676056
8,8.0,0.0,8.0,0.0
9,69.0,0.0,69.0,0.0
A,19.0,0.0,19.0,0.0
B,18.0,0.0,18.0,0.0
C,2.0,0.0,2.0,0.0
D,61.0,0.0,61.0,0.0
E,77.0,0.0,77.0,0.0
F,1.0,0.0,1.0,0.0
G,1.0,0.0,1.0,0.0
H,2.0,1.0,3.0,0.3333333333333333
I,6.0,0.0,6.0,0.0
K,5.0,0.0,5.0,0.0
L,10.0,0.0,10.0,0.0
M,75.0,0.0,75.0,0.0
N,2.0,0.0,2.0,0.0
O,0.0,1.0,1.0,1.0
P,1.0,0.0,1.0,0.0
R,4.0,0.0,4.0,0.0
S,0.0,1.0,1.0,1.0
T,3.0,0.0,3.0,0.0
U,101.0,0.0,101.0,0.0
V,7.0,0.0,7.0,0.0
X,1.0,0.0,1.0,0.0
Z,5.0,0.0,5.0,0.0
